,class,message
1010,ham,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am
1011,ham,i just got home babe are you still awake 
1012,ham,i dunno they close oredi not ìï v ma fan
1013,ham,just buy a pizza meat lovers or supreme u get to pick
1014,ham,ya toldshe was asking wats matter
1015,ham,dearregret i cudnt pick calldrove down frm ctla now at cochin homeleft mobile in carente style ishtamayoohappy bakrid
1016,spam,free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates  pobox  wwq normptone 
1017,ham,shall i send that exe to your mail id
1018,ham,nope watching tv at home not going out v bored
1019,ham,don knowwait i will check it
1020,ham,good afternoon on this glorious anniversary day my sweet j  i hope this finds you happy and content my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers  you cougarpen
1021,spam,guess what somebody you know secretly fancies you wanna find out who it is give us a call on  from landline dateboxessexcmxn pmin 
1022,ham,we still on for tonight
1023,ham,may i call you later pls
1024,ham,hasnt that been the pattern recently crap weekends
1025,ham,i have a sore throat its scratches when i talk
1026,ham,yes da any plm at ur office
1027,ham,are you not around or just still asleep v
1028,ham,lol you forgot it eh  yes ill bring it in babe
1029,ham,its good well find a way
1030,ham,can not use foreign stamps in this country good lecture 
1031,ham,yup bathe liao
1032,ham,happy new year my no man
1033,ham,oh mr sheffield you wanna play that game okay youre the boss and im the nanny you give me a raise and ill give you one
1034,ham,zoe it just hit me  im fucking shitin myself il defo try my hardest  cum morow luv u millions lekdog
1035,ham,hello baby did you get back to your moms  are you setting up the computer now  filling your belly  how goes it loverboy  i miss you already  sighs
1036,ham,no my blankets are sufficient thx
1037,ham,naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt
1038,ham,edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gm gn ge gnt
1039,ham,they just talking thats it de they wont any other
1040,ham,today am going to college so am not able to atten the class
1041,ham,im in class will holla later
1042,ham,easy ahsen got selected means its good
1043,ham,mmm thats better now i got a roast down me iåõd b better if i had a few drinks down me  good indian
1044,spam,we know someone who you know that fancies you call  to find out who pobox  lshb p
1045,ham,come round its  
1046,ham,do  thing change that sentence into because i want  concentrate in my educational career im leaving here
1047,spam,s flirting now txt girl or bloke  ur name  age eg girl zoe  to  to join and get chatting
1048,ham,i walked an hour  c u doesnåõt that show i care y wont u believe im serious
1049,spam, days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 
1050,ham,are you available for soiree on june rd
1051,ham,do u noe wat time e place dat sells d closes
1052,ham,i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished
1053,ham,jays getting really impatient and belligerent
1054,ham,hiya comin  bristol  st week in april les got off  rudi on new yrs eve but i was snoringthey were drunk u bak at college yet my work sends ink  bath
1055,ham,im at work please call
1056,ham,then u drive lor
1057,ham,ard  like dat y
1058,ham,tell me theyre female v howre you throwing in were deciding what all to get now
1059,spam,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to  now  chance  win å cash wkentp
1060,ham,im working technical support voice processnetworking field
1061,ham,i might come to kerala for  daysso you can be prepared to take a leave once i finalise dont plan any travel during my visitneed to finish urgent works
1062,ham,ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve
1063,spam,we have new local dates in your area  lots of new people registered in your area reply date to start now  only  replys
1064,ham,thats fine ill bitch at you about it later then
1065,ham,no my mum went  dentist
1066,ham,once free call me sir i am waiting for you
1067,ham,meeting u is my work   tel me when shall i do my work tomorrow
1068,spam,someone u know has asked our dating service  contact you cant guess who call  now all will be revealed po box m wu
1069,ham,jus finish bathing
1070,ham,alright ill make sure the car is back tonight
1071,spam,urgent we are trying to contact u todays draw shows that you have won a å prize guaranteed call  from land line claim c validhrs only
1072,spam,dear uve been invited to xchat this is our final attempt to contact u txt chat to 
1073,ham,lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea
1074,ham,aight ill get on fb in a couple minutes
1075,ham,oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz
1076,ham,where can download clear movies dvd copies
1077,ham,yep by the pretty sculpture
1078,ham,convey my regards to him
1079,ham,me too watching surya movie only  after  pm vijay movie pokkiri
1080,ham,you tell what happen dont behave like this to me ok no need to say
1081,ham,can u get pic msgs to your phone
1082,ham,send to someone else 
1083,ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem
1084,ham,for me the love should start with attractioni should feel that i need her every time around meshe should be the first thing which comes in my thoughtsi would start the day and end it with hershe should be there every time i dreamlove will be then when my every breath has her namemy life should happen around hermy life will be named to heri would cry for herwill give all my happiness and take all her sorrowsi will be ready to fight with anyone for heri will be in love when i will be doing the craziest things for herlove will be when i dont have to proove anyone that my girl is the most beautiful lady on the whole planeti will always be singing praises for herlove will be when i start up making chicken curry and end up makiing sambarlife will be the most beautiful thenwill get every morning and thank god for the day because she is with mei would like to say a lotwill tell later
1085,ham,frndship is like a needle of a clock though v r in d same clock v r nt able  met evn if v meetitz only few seconds bt v alwys stay conected gud t
1086,ham,i dont think he has spatula hands
1087,ham,you can never do nothing
1088,spam,you are awarded a sipix digital camera call  from landline delivery within days t cs box mbp yr warranty ppm   p på
1089,ham,goodmorning today i am late for  ltdecimalgt min
1090,spam,win urgent your mobile number has been awarded with a å prize guaranteed call  from land line claim  valid hrs only ppm 
1091,ham,please da call me any mistake from my side sorry da pls da goto doctor
1092,ham,where r we meeting
1093,ham,well the weather in calis great but its complexities are great you need a car to move freely its taxes are outrageous but all in all its a great place the sad part is i missing home
1094,ham,now only i reached home   i am very tired now  i will come tomorro
1095,ham,ryder unsoldnow gibbs
1096,spam,dear subscriber ur draw  å gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to 
1097,ham,dont fret ill buy the ovulation test strips and send them to you you wont get them til like march can you send me your postal addressull be alrightokay
1098,ham,no gifts you trying to get me to throw myself off a cliff or something
1099,ham,been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today
1100,ham,you busy or can i come by at some point and figure out what were doing tomorrow
1101,ham,yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary
1102,ham,black shirt n blue jeans i thk i c ì_
1103,ham,aiyah sorry lor i watch tv watch until i forgot  check my phone
1104,spam,message important information for o user today is your lucky day  find out why log onto  there is a fantastic surprise awaiting you
1105,ham,on hen night going with a swing
1106,ham,good afternoon my love how goes your day  what are you up to  i woke early and am online waiting for you  hmmm  italian boy is online i see  grins
1107,ham,from someone not to smoke when every time ive smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
1108,ham,no youll just get a headache trying to figure it out u can trust me to do the math i promise o
1109,ham,s sfirst timedhoni rocks
1110,ham,ok ill tell the company
1111,ham,awesome think we can get an th at usf some time tonight
1112,ham,so that means you still think of teju
1113,ham,no im good for the movie is it ok if i leave in an hourish
1114,ham,no nothis is kallis home groundamla home town is durban
1115,ham,so lets make it saturday or monday as per convenience
1116,ham,hey what time is your driving on fri we go for evaluation on fri
1117,spam, you have won a å price to claim call 
1118,ham,im going  lunch now wif my family then aft dat i go str  orchard lor
1119,spam,bored of speed dating try speedchat txt speedchat to  if you dont like em txt swap and get a new chatter chat poboxwwq pmsg rcd 
1120,ham,cancel cheyyamoand get some money back
1121,spam,do you want  anytime any network mins  text and a new video phone for only five pounds per week call  now or reply for delivery tomorrow
1122,ham,okok okthenwhats ur todays plan
1123,ham,good morning princess how are you
1124,ham,aiyar sorry lor forgot  tell u
1125,spam,for taking part in our mobile survey yesterday you can now have  texts  use however you wish  get txts just send txt to  tc  p
1126,ham,not tonight mate catching up on some sleep this is my new number by the way 
1127,ham,height of oh shit situation a guy throws a luv letter on a gal but falls on her brothers head whos a gay d
1128,spam,ur hmv quiz cashbalance is currently å  to maximize ur cashin now send hmv to  only pmsg
1129,ham,so check your errors and if you had difficulties do correction
1130,ham,howz painhope u r fine
1131,ham,sorry ill call later
1132,ham,good morning princess how are you
1133,ham,as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there
1134,ham,u wake up already thanx  e tau sar piah its quite nice
1135,ham,k do i need a login or anything
1136,spam,dont forget you can place as many free requests with stchoicecouk as you wish for more information call 
1137,ham,lol  no just was busy
1138,ham,what  u wearing
1139,ham,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom
1140,ham,ohas usual vijay film or its different
1141,spam,i dont know u and u dont know me send chat to  now and lets find each other only pmsg rcvd hgsuitelandsrowwjhl ldn  years or over
1142,ham,have you had a good day mine was really busy are you up to much tomorrow night
1143,ham,and is there a way you can send shades stuff to her and she has been wonderful too
1144,ham,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf  study 
1145,spam,thank you winner notified by sms good luck no future marketing reply stop to  customer services 
1146,ham,babe  i lost you  
1147,ham,ok help me ask if shes working tmr a not
1148,ham,im not driving raining then ill get caught at e mrt station lor
1149,ham,not a drop in the tank
1150,ham,that said can you text him one more time
1151,ham,sorry ill call later
1152,ham,ok i go change also
1153,spam,s of girls many local  u who r virgins  this  r ready  fil ur every sexual need can u fil theirs text cute to åp m
1154,ham,did u find a sitter for kaitlyn i was sick and slept all day yesterday
1155,ham,sorry man accidentally left my phone on silent last night and didnt check it til i got up
1156,ham,hey something came up last min think i wun be signing up tmr hee
1157,ham,hes an adult and would learn from the experience theres no real danger i just dont like peeps using drugs they dont need but no comment
1158,ham,hey theres veggie pizza 
1159,ham,yun buying but school got offer  plus only
1160,ham,you sure your neighbors didnt pick it up
1161,ham,k i will sent it again
1162,spam,free entry in  a wkly comp to win fa cup final tkts st may  text fa to  to receive entry questionstd txt ratetcs apply overs
1163,ham,new theory argument wins d situation but loses the person so dont argue with ur friends just    kick them amp say im always correct
1164,ham,well im computerless time to make some oreo truffles
1165,ham,haha yeah i see that now be there in a sec
1166,ham,i am not having her number sir
1167,ham,lol now im after that hot air balloon
1168,ham,ok   now i am in bus  if i come soon i will come otherwise tomorrow
1169,ham,msgs r not time passthey silently say that i am thinking of u right now and also making u think of me at least  a moment gd ntswt drms shesil
1170,ham,yeah we can probably swing by once my roommate finishes up with his girl
1171,spam,got what it takes  take part in the wrc rally in oz u can with lucozade energy text rally le to  p see packs or lucozadecoukwrc  itcould be u
1172,ham,happy new years melody
1173,ham,ìï dun need to pick ur gf
1174,ham,yay you better not have told that to  other girls either
1175,ham,horrible u eat macs eat until u forgot abt me already rite u take so long  reply i thk its more toot than b so b prepared now wat shall i eat
1176,ham,did he say how fantastic i am by any chance or anything need a bigger life lift as losing the will  live do you think i would be the first person  die from n v q 
1177,ham,just nw i came to hme da
1178,ham,im outside islands head towards hard rock and youll run into me
1179,ham,to day class is there are no class
1180,ham,im in chennai velachery
1181,ham,you flippin your shit yet
1182,ham,k give me a sec breaking a  ltgt  at cstore
1183,ham,am i that much bad to avoid like this
1184,ham,yo you around just got my car back
1185,ham,annoying isnt it
1186,ham,goodmorning today i am late for  ltgt min
1187,ham,theres no point hangin on to mr not right if hes not makin u happy
1188,ham,all will come alivebetter correct any good looking figure there itself
1189,ham,in that case i guess ill see you at campus lodge
1190,ham,were done
1191,ham,come to my home for one last time i wont do anything trust me
1192,ham,i was up all night too worrying about this appt its a shame we missed a girls night out with quizzes popcorn and you doing my hair
1193,spam,sex up ur mobile with a free sexy pic of jordan just text babe to  then every wk get a sexy celeb pocketbabecouk  more pics  åwk 
1194,ham,ok c ya
1195,spam,you have  new voicemail please call 
1196,ham,what he said is not the matter my mind saying some other matter is there
1197,ham,he also knows about lunch menu only da  i know
1198,ham,al he does is moan at me if n e thin goes wrong its my faultal de arguments r my faultfed up of him of himso y bother hav go thanxxx
1199,ham,neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt  ltgt
1200,ham,otherwise had part time job natuition
1201,ham,i know she called me
1202,ham,me also da i feel yesterday night  wait til day night dear
1203,ham,thanks for understanding ive been trying to tell sura that
1204,spam,win a year supply of cds  a store of ur choice worth å  enter our å weekly draw txt music to  tscs 
1205,ham,the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p
1206,spam,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no  to claim pmsg exp apr
1207,ham,i need you to be in my strong arms
1208,ham,also maaaan are you missing out
1209,ham,his bday real is in april 
1210,ham,guessin you aint gonna be here before 
1211,ham,ok then i will come to ur home after half an hour
1212,ham,yo the game almost over want to go to walmart soon
1213,ham,yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well
1214,ham,ill text now all creepy like so he wont think that we forgot
1215,ham,that would be good û_ ill phone you tomo lunchtime shall i to organise something
1216,spam,you have  new voicemail please call 
1217,ham,damn can you make it tonight or do you want to just wait til tomorrow
1218,ham,kkim also finewhen will you complete the course
1219,ham,true it is passable and if you get a high score and apply for phd you get years of salary so it makes life easier
1220,spam,no  nokia tone  ur mob every week just txt nok to  st tone free  so get txtin now and tell ur friends ptone  reply hl info
1221,ham,prakesh is there know
1222,ham,teach me apps da when you come to college
1223,ham,rofl betta invest in some  anti aging products
1224,spam,you are a winner u have been specially selected  receive å cash or a  holiday flights inc speak to a live operator  claim 
1225,ham,sir you will receive the account no another hr time sorry for the delay
1226,spam,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations  php
1227,ham,so ì_ll be submitting da project tmr rite
1228,spam,free entry into our å weekly comp just send the word enter to  now  tc  cust care 
1229,ham,jus ans me lar ull noe later
1230,ham,i want to send something that can sell fast  ltgt k is not easy money
1231,ham,have got  few things to do may be in  pub later
1232,ham,s finish meeting call me
1233,ham,lol ok ill snatch her purse too
1234,ham,hellodrivbyquit edrunk sorry iff pthis makes no senrddnot no how  dancce  drum n basqihave fun nhite x ros xxxxxxx
1235,ham,your opinion about me  over  jada  kusruthi  lovable  silent  spl character  not matured  stylish  simple pls reply
1236,ham,how much are we getting
1237,ham,is ur paper in e morn or aft tmr
1238,ham,dear relieved of westonzoyland all going to plan this end too
1239,ham,hope you are having a great new semester do wish you the very best you are made for greatness
1240,ham,oh yes i can speak txt  u no hmm did u get  email
1241,ham,i want to show you the world princess  how about europe
1242,ham,nobody can decide where to eat and dad wants chinese
1243,ham,no shoot me im in the docs waiting room 
1244,ham,now im going out  dinner soon
1245,ham,hello which the site to download songs its urgent pls
1246,ham,i do know what u mean  is the king of not havin credit im goinbed now night night sweet onlymore sleep 
1247,ham,horrible gal me in sch doing some stuff how come u got mc
1248,ham,hi hun im not comin nitetell every im sorry  me hope u ava goodtimeoli rang melnite ifink it mite b sortedbut il explain everythin on monlrsx
1249,ham,i call you later dont have network if urgnt sms me
1250,ham,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear
1251,spam,please call  immediately as there is an urgent message waiting for you
1252,ham,yeah like if it goes like it did with my friends imma flip my shit in like half an hour
1253,ham,mum say we wan to go then go then she can shun bian watch da glass exhibition 
1254,ham,what your plan for pongal
1255,ham,just wait till end of march when el nino gets himself oh
1256,ham,not yet chikkugoing to room nw im in bus
1257,ham,am also doing in cbe only but have to pay
1258,ham,honey boo im missing u
1259,ham,we have sent jd for customer service cum accounts executive to ur mail id for details contact us
1260,ham,yo im at my parents gettin cash good news we picked up a downstem
1261,ham,thank you so much when we skyped wit kz and sura we didnt get the pleasure of your company hope you are good weve given you ultimatum oh we are countin down to aburo enjoy
1262,spam,hungry gay guys feeling hungry and up  it now call  just pmin to stop texts call  pmin
1263,ham,ok no wahala just remember that a friend in need 
1264,ham,i will see in half an hour
1265,ham,im in inperialmusic listeningthe weirdest track ever byåóleafcutter johnåósounds like insects being molestedsomeone plumbingremixed by evil men on acid
1266,ham,hey sorry i didntgive ya a a bellearlier hunny just been in bedbut mite go  thepub ltr if uwana mt uploads a luv jenxxx
1267,ham,seriously tell her those exact words right now
1268,spam,can u get  phone now i wanna chat  set up meet call me now on  u can cum here moro luv jane xx callsåminmoremobsemspoboxpowa
1269,ham,tee hee off to lecture cheery bye bye
1270,ham,sorry chikku my cell got some problem thts y i was nt able to reply u or msg u
1271,ham,if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
1272,ham,ok
1273,spam,network operator the service is free for t  cs visit biz
1274,ham,let me know how to contact you ive you settled in a room lets know you are ok
1275,ham,wot u up  u weirdo
1276,ham,can do lor
1277,ham,dont put your phone on silent mode ok
1278,ham,can i meet ì_ at  as  where depends on where ì_ wan  in lor
1279,ham,waiting  my tv show  start lor u leh still busy doing ur report
1280,ham,oh ho is this the first time u use these type of words
1281,ham,am i the only one who doesnt stalk profiles
1282,ham,ever green quote ever told by jerry in cartoon a person who irritates u always is the one who loves u vry much but fails to express it   gud nyt
1283,ham,yes i thought so thanks
1284,ham,but if shes drinkin im ok
1285,ham,just wondering the others just took off
1286,ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng
1287,ham,what do you do my dog  must i always wait till the end of your day to have word from you  did you run out of time on your cell already
1288,ham,happy new year to u too
1289,ham,heygreat dealfarm tour am to pm pax  deposit by  may
1290,ham,eat jap done oso aft ur lect wat ìï got lect at  rite 
1291,ham,hey babe i saw you came online for a second and then you disappeared what happened 
1292,ham,da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes
1293,ham,happy birthday may all ur dreams come true
1294,ham,aiyah u did ok already lar e nydc at wheellock
1295,ham,tell her i said eat shit
1296,ham,sure i am driving but will reach my destination soon
1297,ham,k so am i how much for an th fifty
1298,ham,your daily text from me ûò a favour this time
1299,ham,great to hear you are settling well so whats happenin wit ola
1300,ham,those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
1301,ham,i tot u reach liao he said tshirt
1302,ham,fran i decided  go n e way im completely broke an knackered i got up bout  c u mrw love janx ps this is my dads fone no credit
1303,ham,i cant pick the phone right now pls send a message
1304,ham,your right ill make the appointment right now
1305,ham,designation is software developer and may be she get chennai
1306,spam,enjoy the jamster videosound gold club with your credits for  new videosounds logosmusicnews get more fun from jamstercouk only help call  
1307,spam,get  lions england tone reply lionm  mono or lionp  poly  more go   the original n best tones gbp network operator rates apply
1308,ham,i jokin oni lar ìï busy then i wun disturb ì_
1309,ham,ok be careful  dont text and drive 
1310,ham,ill always be there even if its just in spirit ill get a bb soon just trying to be sure i need it
1311,ham,u r too much close to my heart if u go away i will be shattered plz stay with me
1312,ham,i love u  babe r u sure everything is alrite is he being an idiot txt bak girlie
1313,ham,how abt making some of the pics bigger
1314,ham,got but got  colours lor one colour is quite light n e other is darker lor actually im done shes styling my hair now
1315,ham,whenevr ur sad whenevr ur gray remembr im here  listn  watevr u wanna say jus walk wid me a little whileamp i promise ill bring back ur smile
1316,ham,why nothing ok anyway give me treat
1317,spam,win the newest ûïharry potter and the order of the phoenix book  reply harry answer  questions  chance to be the first among readers
1318,ham,ok
1319,ham,correct so how was work today
1320,ham,just sent again do you scream and moan in bed princess
1321,ham,i wake up long ago already dunno what other thing
1322,ham,oh just getting even with u u
1323,ham,i thk  shd be ok he said plus minus  did ì_ leave a line in between paragraphs
1324,ham,can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before o clock so call me plz
1325,ham,yeah jays sort of a fucking retard
1326,ham,sorry was in the bathroom sup
1327,spam,ur balance is now å ur next question is who sang uptown girl in the s   answer txt ur answer to  good luck
1328,ham,my exam is for february  wish you a great day
1329,ham,i dont know what to do to come out of this so only am ask questions like this dont mistake me
1330,ham,aight no rush ill ask jay
1331,ham,good morning plz call me sir
1332,ham,its ok lar u sleep early too nite
1333,ham,oh icic k lor den meet other day
1334,ham,oh  a half hour is much longer in syria than canada eh  wow you must get so much more work done in a day than us with all that extra time  grins
1335,ham,sometimes we put walls around our heartsnot just to be safe from getting hurt but to find out who cares enough to break the walls amp get closer goodnoon
1336,ham,sweet we may or may not go to u to meet carlos so gauge pattys interest in that
1337,ham,then she buying today ìï no need to c meh
1338,ham,aight sorry i take ten years to shower whats the plan
1339,ham,every mondaynxt week vl be completing
1340,ham,might ax well im there
1341,ham,just chill for another hrs if you could sleep the pain is not a surgical emergency so see how it unfolds okay
1342,ham,yeah ill try to scrounge something up
1343,ham,crazy ar hes married ìï like gd looking guys not me my frens like say hes korean leonas fave but i dun thk he is aft some thinking mayb most prob ill go
1344,ham,were somewhere on fredericksburg
1345,ham,que pases un buen tiempo or something like that
1346,ham,is it ok if i stay the night here xavier has a sleeping bag and im getting tired
1347,ham,she doesnt need any test
1348,ham,nothing much chillin at home any super bowl plan
1349,spam,freeday sexy st georges day pic of jordantxt pic to  dont miss out then every wk a saucy celeb more pics c pocketbabecouk  åwk
1350,ham,bugis oso near wat 
1351,ham,yo theres no class tmrw right
1352,ham,let ur heart be ur compass ur mind ur map ur soul ur guide and u will never loose in worldgnun  sent via waysmscom
1353,ham,goodnight sleep well da please take care pa please
1354,ham,baaaaabe i misss youuuuu  where are you  i have to go and teach my class at  
1355,ham,convey my regards to him
1356,ham,u ned to convince him tht its not possible witot hurting his feeling its the main
1357,ham,good afternoon loverboy  how goes you day  any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy
1358,ham,if i start sending blackberry torch to nigeria will you find buyer for melike a month and tell dad not to buy bb from anyone oh
1359,ham,ltgt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis  u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to  ltgt  frnds in ltgt  mins whn u read
1360,ham,yo dude guess who just got arrested the other day
1361,ham,shuhui say change  suntec steamboat u noe where where r u now
1362,ham,what does the dance river do
1363,ham,yetunde im sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger
1364,ham,hey i will be really pretty late you want to go for the lesson first i will join you im only reaching tp mrt
1365,spam,hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb k
1366,ham,bbq this sat at mine from ish ur welcome  come
1367,ham,i dont know same thing thats wrong everyso often he panicks starts goin on bout not bein good enough û_
1368,ham,alright im outhave a good night
1369,ham,did you try making another butt
1370,ham,hope you are feeling great pls fill me in abiola
1371,ham,i though we shd go out n have some fun so bar in town or something ûò sound ok
1372,ham, go to write msg  put on dictionary mode cover the screen with hand press  ltgt  gently remove ur hand its interesting
1373,spam,bears pic nick and tom pete and  dick in fact all types try gay chat with photo upload call  pmin  stop texts call 
1374,spam, new mobiles from  must go txt nokia to no   collect yours todayfrom only å  optout gbpmtmsg txtauction
1375,ham,were finally ready fyi
1376,ham,auntie huai juan never pick up her phone
1377,spam,double mins  double txt   price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers  or calloptoutlf
1378,ham,ya tel wats ur problem
1379,spam,no  nokia tone  ur mob every week just txt nok to  st tone free  so get txtin now and tell ur friends ptone  reply hl info
1380,ham,i dnt wnt to tlk wid u
1381,ham,we spend our days waiting for the ideal path to appear in front of us but what we forget is paths are made by walking not by waiting goodnight
1382,ham,its ok my arm is feeling weak cuz i got a shot so we can go another time
1383,ham,please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle 
1384,ham,storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello    its d name of a girl    yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone     moralone can get d name of a person  bt not his girlfrnd g o o d n i g h t   
1385,ham,thats ok i popped in to ask bout something and she said youd been in are you around tonght wen this girl comes
1386,ham,all e best  ur exam later
1387,ham,hope ur head doesnt hurt  much  am ploughing my way through a pile of ironing  staying in with a chinky tonight come round if you like
1388,ham,oh ki think most of wi and nz players unsold
1389,ham,haha where got so fast lose weight thk muz go  a month den got effect geelater we go aust put bk e weight
1390,ham,i wonder how you got online my love  had you gone to the net cafe  did you get your phone recharged  were you on a friends net  i think of you boytoy
1391,ham,haha just kidding papa needs drugs
1392,ham,thk shld b can ya i wana go  lessons haha can go for one whole stretch
1393,ham,oh ok
1394,ham,r we still meeting  dinner tonight
1395,ham,thats cool i am a gentleman and will treat you with dignity and respect
1396,ham,shall i start from hear
1397,ham,then we wait  u lor no need  feel bad lar
1398,ham,no did you check i got his detailed message now
1399,ham,you have registered sinco as payee log in at icicibankcom and enter urn  ltgt  to confirm beware of frauds do not share or disclose urn to anyone
1400,ham,no i decided that only people who care about stuff vote and caring about stuff is for losers
1401,ham,kaiez enjoy ur tuition gee thk e second option sounds beta ill go yan jiu den msg u
1402,ham,you have registered sinco as payee log in at icicibankcom and enter urn  ltgt  to confirm beware of frauds do not share or disclose urn to anyone
1403,ham,cool we will have fun practicing making babies
1404,ham,actually getting ready to leave the house
1405,ham,kkany special today
1406,spam,urgent important information for o user today is your lucky day  find out why log onto  there is a fantastic surprise awaiting for you
1407,ham,then we gotta do it after that
1408,ham,ive got ten bucks jay is being noncomittal
1409,ham,where at were hungry too
1410,ham,pls speak to that customer machan
1411,ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams
1412,ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
1413,spam,dear uve been invited to xchat this is our final attempt to contact u txt chat to  pmsgrcvdhgsuitelandsrowwjhl ldn  yrs
1414,ham,so wats ur opinion abt him and how abt is character
1415,ham,jay is snickering and tells me that x is totally fucking up the chords as we speak
1416,ham,nofew hours beforewent to hair cut 
1417,ham,no wonder cos i dun rem seeing a silver car but i thk i saw a black one
1418,ham,lmao take a pic and send it to me
1419,ham,speak only when you feel your words are better than the silence gud mrng
1420,ham,no shes currently in scotland for that
1421,ham,do you work all this week 
1422,spam,congratulations ur awarded either å of cd gift vouchers  free entry  our å weekly draw txt music to  tncs   winppmxage
1423,ham,lol great now im getting hungry
1424,ham,yes now only saw your message
1425,ham,ill be at mu in like  ltgt  seconds
1426,ham,ok
1427,ham,thing r good thanx got exams in march ive done no revision is fran still with boyf ive gotta interviw  exeter bit worriedx
1428,ham,tell you what if you make a little spreadsheet and track whose idea it was to smoke to determine who smokes too much for the entire month of february  ill come up
1429,spam,for sale  arsenal dartboard good condition but no doubles or trebles
1430,ham,dont look back at the building because you have no coat and i dont want you to get more sick just hurry home and wear a coat to the gym
1431,ham,my painful personal thought i always try to keep everybody happy all the time but nobody recognises me when i am alone
1432,ham,thanks for ve lovely wisheds you rock
1433,ham,you intrepid duo you have a great time and see you both soon 
1434,ham,i asked sen to come chennai and search for job
1435,ham,dad went out oredi 
1436,ham,i jus hope its true that  missin me cos im really missin him you havent done anything to feel guilty about yet
1437,ham,wat so late still early mah or we juz go  dinner lor aiya i dunno
1438,ham,arms fine hows cardiff and uni 
1439,ham,in fact when do you leave i think addie goes back to school tues or wed
1440,ham,cool breeze bright sun fresh flower twittering birds all these waiting to wish u goodmorning amp have a nice day 
1441,ham,yagoing for restaurant
1442,ham,its ok i just askd did u knw tht no
1443,spam,free st week entry  textpod  a chance  win gb ipod or å cash every wk txt pod to  tscs  custcare 
1444,ham,those ducking chinchillas
1445,ham,i am in a marriage function
1446,ham,looks like u wil b getting a headstart im leaving here bout ish but if u r desperate for my company i could head in earlierwe were goin to meet in rummer
1447,ham,donût give a flying monkeys wot they think and i certainly donût mind any friend of mine and all that
1448,spam,as a registered optin subscriber ur draw  å gift voucher will be entered on receipt of a correct ans to  whats no in the bbc charts
1449,ham,say thanks 
1450,ham,msg me when rajini comes
1451,ham,ya when are ì_ taking ure practical lessons i start in june  
1452,ham,thats good because i need drugs
1453,ham,stupidits not possible
1454,ham,can ì_ all decide faster cos my sis going home liao
1455,spam,summers finally here fancy a chat or flirt with sexy singles in yr area to get matched up just reply summer now free  join optout txt stop help
